;FESTWERT;WERT
0;C_AdaPa_AccLateralEMADecay_f32;0.05
1;C_AdaPa_AccLateralEMATime_f32;0.1
2;C_AdaPa_AccLongitudinalEMADecay_f32;0.05
3;C_AdaPa_AccLongitudinalEMATime_f32;0.1
4;C_AdaPa_AccPedalEMADecay_f32;0.05
5;C_AdaPa_AccPedalEMATime_f32;0.1
6;C_AdaPa_AccPedalGradientEMADecay_f32;0.05
7;C_AdaPa_AccPedalGradientEMATime_f32;0.1
8;C_AdaPa_ActDrBreakTimInSec_u16;1200.0
9;C_AdaPa_ActDrThrSpeedInKmh_f32;5.0
10;C_AdaPa_AdjDriverChange_bln;0.0
11;C_AdaPa_BreakNotifDelayTime_u16;100.0
12;C_AdaPa_BreakNotifDrivingTime_u16;14400.0
13;C_AdaPa_CircadianRhythmNode00_f32;-0.2
14;C_AdaPa_CircadianRhythmNode01_f32;-0.35
15;C_AdaPa_CircadianRhythmNode02_f32;-0.48
16;C_AdaPa_CircadianRhythmNode03_f32;-0.5
17;C_AdaPa_CircadianRhythmNode04_f32;-0.37
18;C_AdaPa_CircadianRhythmNode05_f32;-0.19
19;C_AdaPa_CircadianRhythmNode06_f32;0.0
20;C_AdaPa_CircadianRhythmNode07_f32;0.2
21;C_AdaPa_CircadianRhythmNode08_f32;0.27
22;C_AdaPa_CircadianRhythmNode09_f32;0.25
23;C_AdaPa_CircadianRhythmNode10_f32;0.21
24;C_AdaPa_CircadianRhythmNode11_f32;0.15
25;C_AdaPa_CircadianRhythmNode12_f32;0.1
26;C_AdaPa_CircadianRhythmNode13_f32;0.05
27;C_AdaPa_CircadianRhythmNode14_f32;0.01
28;C_AdaPa_CircadianRhythmNode15_f32;0.0
29;C_AdaPa_CircadianRhythmNode16_f32;0.03
30;C_AdaPa_CircadianRhythmNode17_f32;0.08
31;C_AdaPa_CircadianRhythmNode18_f32;0.13
32;C_AdaPa_CircadianRhythmNode19_f32;0.15
33;C_AdaPa_CircadianRhythmNode20_f32;0.15
34;C_AdaPa_CircadianRhythmNode21_f32;0.13
35;C_AdaPa_CircadianRhythmNode22_f32;0.04
36;C_AdaPa_CircadianRhythmNode23_f32;-0.06
37;C_AdaPa_DTLMinSpeed_f32;90.0
38;C_AdaPa_DTLPreDebounceTicks_u16;1200.0
39;C_AdaPa_DTLRecDebounceTicks_u16;1000.0
40;C_AdaPa_DTLResetTicks_u16;2000.0
41;C_AdaPa_DaylightBrightnessDefault_f32;20000.0
42;C_AdaPa_DayligthMaxDecrease_f32;400.0
43;C_AdaPa_DayligthMaxIncrease_f32;40000.0
44;C_AdaPa_DeadTimeAdjustmentVolume_u16;40.0
45;C_AdaPa_DeadTimeFlashing_u16;20.0
46;C_AdaPa_DeadTimeHeavyBraking_u16;40.0
47;C_AdaPa_DeadTimeInfotainment_u16;30.0
48;C_AdaPa_DeadTimeLightAcceleration_u16;60.0
49;C_AdaPa_DeadTimeLightBraking_u16;60.0
50;C_AdaPa_DeadTimeOperatingExteriorMirror_u16;30.0
51;C_AdaPa_DeadTimeOperatingFASButtons_u16;40.0
52;C_AdaPa_DeadTimeOperatingHighBeam_u16;30.0
53;C_AdaPa_DeadTimeOperatingMedia_u16;30.0
54;C_AdaPa_DeadTimeOperatingSeatAdjustment_u16;50.0
55;C_AdaPa_DeadTimeOperatingWiperLever_u16;20.0
